component,instrument,sub,rows,valid,first_ist,last_ist,bars,bars15,bars1h,bars_compared,mismatches,strategy,fill_id,bar_ist,bar_tf,side,qty,kind,reason,entry P&L-input(driver),price_saved,price_model,orders,fills,closed_trades,open_positions,entry_price,exit_price,multiplier,exit_reason,gross_expected,gross_saved,charges_expected,charges_saved,net_expected,net_saved,acct_realized,sum_own_nets,entry_day,exit_day,nights
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,44547240,08-24 11:00,15m,SELL,1.0,entry,,entry,254500.0,254500.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,01a5c105,08-24 11:30,15m,BUY,1.0,exit,stop_loss_hit,exit,255499.0,255499.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,516de507,08-24 13:45,15m,SELL,1.0,entry,,entry,254451.0,254451.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,ec5642c0,08-24 16:00,15m,BUY,1.0,exit,stop_loss_hit,exit,254853.0,254853.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,d7dd96fe,08-24 19:15,15m,SELL,1.0,entry,,entry,255397.0,255397.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,a6b5ba9d,08-25 12:00,15m,BUY,1.0,exit,long_reversal,exit,253001.0,253001.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,c9042321,08-25 12:00,15m,BUY,1.0,entry,,entry,253333.0,253333.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,08a3b6f5,08-25 13:30,15m,SELL,1.0,exit,stop_loss_hit,exit,251243.0,251243.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,1097bdbe,08-25 21:00,15m,BUY,1.0,entry,,entry,252149.0,252149.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,aee17569,08-26 12:00,15m,SELL,1.0,exit,short_reversal,exit,253167.0,253167.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,cf3140fc,08-26 12:00,15m,SELL,1.0,entry,,entry,253025.0,253025.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,0849d164,08-26 18:00,15m,BUY,1.0,exit,long_reversal,exit,253500.0,253500.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,93943ead,08-26 18:00,15m,BUY,1.0,entry,stop_loss_hit,entry,253500.0,253500.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,2af0833d,08-26 18:00,15m,SELL,1.0,exit,stop_loss_hit,exit,252832.0,252832.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,330616cc,08-27 10:30,15m,BUY,1.0,entry,,entry,249750.0,249750.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,0529962a,08-28 09:15,15m,SELL,1.0,exit,short_reversal,exit,248098.0,248098.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,d44832af,08-28 12:00,15m,BUY,1.0,entry,,entry,249371.0,249371.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,fc25808c,08-28 19:45,15m,SELL,1.0,exit,short_reversal,exit,250132.0,250132.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_01,9f8ee123,08-28 19:45,15m,SELL,1.0,entry,,entry,250010.0,250010.0,,,,,,,,,,,,,,,,,,,
storage,SILVERM,db+analytics integrity,,PASS,,,,,,,,,,,,,,,,,,,46.0,46.0,22.0,2.0,,,,,,,,,,,,,,,
