instrument,strategy,fast_tf,bar_start_ist,crossing_side,result,engine,reference
GOLDM,gold_02,15m,2026-08-27 23:15:00,SHORT,MATCH,pC=158332.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158254.2775775401,pC=158332.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158254.2775775401
GOLDM,gold_02,15m,2026-08-28 12:15:00,LONG,MATCH,pC=157704.0|pH=158194.90474363664|h=158194.90474363664|pM=157606.22423901234|m=157816.45569072352|f=157816.45569072352,pC=157704.0|pH=158194.90474363664|h=158194.90474363664|pM=157606.22423901234|m=157816.45569072352|f=157816.45569072352
GOLDM,gold_02,15m,2026-08-28 19:30:00,SHORT,MATCH,pC=159281.0|pH=158511.63203136946|h=158511.63203136946|pM=158983.15695527085|m=158983.15695527085|f=158983.15695527085,pC=159281.0|pH=158511.63203136946|h=158511.63203136946|pM=158983.15695527085|m=158983.15695527085|f=158983.15695527085
SILVERM,silver_01,15m,2026-08-24 10:45:00,SHORT,MATCH,pC=254730.0|pH=254565.0|h=254565.0|pM=254920.0|m=254920.0|f=254920.0,pC=254730.0|pH=254565.0|h=254565.0|pM=254920.0|m=254920.0|f=254920.0
SILVERM,silver_01,15m,2026-08-24 13:30:00,SHORT,MATCH,pC=254900.0|pH=254565.0|h=254565.0|pM=254939.1684996563|m=254939.1684996563|f=254939.1684996563,pC=254900.0|pH=254565.0|h=254565.0|pM=254939.1684996563|m=254939.1684996563|f=254939.1684996563
SILVERM,silver_01,15m,2026-08-24 14:15:00,SHORT,MATCH,pC=254767.0|pH=254565.0|h=254565.0|pM=254892.8314976994|m=254892.8314976994|f=254892.8314976994,pC=254767.0|pH=254565.0|h=254565.0|pM=254892.8314976994|m=254892.8314976994|f=254892.8314976994
SILVERM,silver_01,15m,2026-08-24 19:00:00,SHORT,MATCH,pC=257048.0|pH=255470.5287864905|h=255470.5287864905|pM=256461.70930959404|m=256461.70930959404|f=256461.70930959404,pC=257048.0|pH=255470.5287864905|h=255470.5287864905|pM=256461.70930959404|m=256461.70930959404|f=256461.70930959404
SILVERM,silver_01,15m,2026-08-24 21:00:00,SHORT,MATCH,pC=255900.0|pH=255470.5287864905|h=255470.5287864905|pM=256393.35614411364|m=256176.8010353149|f=256176.8010353149,pC=255900.0|pH=255470.5287864905|h=255470.5287864905|pM=256393.35614411364|m=256176.8010353149|f=256176.8010353149
SILVERM,silver_01,15m,2026-08-25 11:45:00,LONG,MATCH,pC=252381.0|pH=252836.68218935851|h=252836.68218935851|pM=251394.23859094942|m=251945.81611334355|f=251945.81611334355,pC=252381.0|pH=252836.68218935851|h=252836.68218935851|pM=251394.23859094942|m=251945.81611334355|f=251945.81611334355
SILVERM,silver_01,15m,2026-08-25 20:45:00,LONG,MATCH,pC=251300.0|pH=251759.07295129416|h=251759.07295129416|pM=250675.53972415384|m=251155.04125111134|f=251155.04125111134,pC=251300.0|pH=251759.07295129416|h=251759.07295129416|pM=250675.53972415384|m=251155.04125111134|f=251155.04125111134
SILVERM,silver_01,15m,2026-08-26 11:45:00,SHORT,MATCH,pC=254147.0|pH=253355.91943123195|h=253355.91943123195|pM=254025.0976321976|m=253998.07300154818|f=253998.07300154818,pC=254147.0|pH=253355.91943123195|h=253355.91943123195|pM=254025.0976321976|m=253998.07300154818|f=253998.07300154818
SILVERM,silver_01,15m,2026-08-26 13:15:00,SHORT,MATCH,pC=253500.0|pH=253355.91943123195|h=253355.91943123195|pM=253998.07300154818|m=253922.81473825406|f=253922.81473825406,pC=253500.0|pH=253355.91943123195|h=253355.91943123195|pM=253998.07300154818|m=253922.81473825406|f=253922.81473825406
SILVERM,silver_01,15m,2026-08-26 17:45:00,LONG,MATCH,pC=252893.0|pH=253108.34662070376|h=253108.34662070376|pM=252419.47944240336|m=252761.3924204173|f=252761.3924204173,pC=252893.0|pH=253108.34662070376|h=253108.34662070376|pM=252419.47944240336|m=252761.3924204173|f=252761.3924204173
SILVERM,silver_01,15m,2026-08-27 09:00:00,LONG,MATCH,pC=247860.0|pH=251064.53123423722|h=249707.17138720455|pM=248805.23562320595|m=248805.23562320595|f=248805.23562320595,pC=247860.0|pH=251064.53123423722|h=249707.17138720455|pM=248805.23562320595|m=248805.23562320595|f=248805.23562320595
SILVERM,silver_01,15m,2026-08-27 10:15:00,LONG,MATCH,pC=247492.0|pH=249030.26185472758|h=249030.26185472758|pM=248805.23562320595|m=248805.23562320595|f=248805.23562320595,pC=247492.0|pH=249030.26185472758|h=249030.26185472758|pM=248805.23562320595|m=248805.23562320595|f=248805.23562320595
SILVERM,silver_01,15m,2026-08-27 13:30:00,LONG,MATCH,pC=248900.0|pH=249030.26185472758|h=249030.26185472758|pM=248805.23562320595|m=248805.23562320595|f=248805.23562320595,pC=248900.0|pH=249030.26185472758|h=249030.26185472758|pM=248805.23562320595|m=248805.23562320595|f=248805.23562320595
SILVERM,silver_01,15m,2026-08-27 21:00:00,LONG,MATCH,pC=248502.0|pH=249030.26185472758|h=249030.26185472758|pM=248037.39727080447|m=248281.13141466383|f=248281.13141466383,pC=248502.0|pH=249030.26185472758|h=249030.26185472758|pM=248037.39727080447|m=248281.13141466383|f=248281.13141466383
SILVERM,silver_01,15m,2026-08-28 09:00:00,SHORT,MATCH,pC=249246.0|pH=249030.26185472758|h=249030.26185472758|pM=249253.8153840633|m=249135.95436109207|f=249135.95436109207,pC=249246.0|pH=249030.26185472758|h=249030.26185472758|pM=249253.8153840633|m=249135.95436109207|f=249135.95436109207
SILVERM,silver_01,15m,2026-08-28 11:45:00,LONG,MATCH,pC=248476.0|pH=249030.26185472758|h=249030.26185472758|pM=248677.58275168174|m=248677.58275168174|f=248677.58275168174,pC=248476.0|pH=249030.26185472758|h=249030.26185472758|pM=248677.58275168174|m=248677.58275168174|f=248677.58275168174
SILVERM,silver_01,15m,2026-08-28 19:30:00,SHORT,MATCH,pC=253400.0|pH=252163.59458891494|h=252163.59458891494|pM=252858.32671683223|m=252306.07851862072|f=252306.07851862072,pC=253400.0|pH=252163.59458891494|h=252163.59458891494|pM=252858.32671683223|m=252306.07851862072|f=252306.07851862072
SILVERM,silver_02,5m,2026-08-24 10:00:00,SHORT,MATCH,pC=254565.0|pH=254565.0|h=254565.0|pM=254920.0|m=254920.0|f=254503.1083622685,pC=254565.0|pH=254565.0|h=254565.0|pM=254920.0|m=254920.0|f=254503.1083622685
