instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
GOLDM,2026-08-27 18:00,157537.0,157537.0,157150.0,157200.0,157639.73712568425,158394.777497884,158394.777497884,157639.73712568425,158394.777497884,158394.777497884,157200.0,211,157516.0,flat,,,,,[]
SILVERM,2026-08-27 18:00,248270.0,248390.0,247231.0,247376.0,248191.39363247837,249411.2611200852,249411.2611200852,248191.39363247837,249411.2611200852,249411.2611200852,247376.0,211,248254.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 18:15,157173.0,157398.0,157003.0,157273.0,157629.5931978905,158394.777497884,158394.777497884,157629.5931978905,158394.777497884,158394.777497884,157273.0,212,157200.0,flat,,,,,[]
SILVERM,2026-08-27 18:15,247370.0,247821.0,246957.0,247392.0,248037.39727080447,249411.2611200852,249411.2611200852,248037.39727080447,249411.2611200852,249411.2611200852,247392.0,212,247376.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 18:30,157273.0,157393.0,157097.0,157253.0,157603.14910094446,158394.777497884,158394.777497884,157603.14910094446,158394.777497884,158394.777497884,157253.0,213,157273.0,flat,,,,,[]
SILVERM,2026-08-27 18:30,247310.0,247865.0,246845.0,247600.0,248037.39727080447,249411.2611200852,249411.2611200852,248037.39727080447,249411.2611200852,249411.2611200852,247600.0,213,247392.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 18:45,157200.0,157657.0,157180.0,157431.0,157603.14910094446,158327.9309904587,158394.777497884,157603.14910094446,158394.777497884,158327.9309904587,157431.0,214,157253.0,flat,,,,,[]
SILVERM,2026-08-27 18:45,247573.0,248300.0,247413.0,247978.0,248037.39727080447,249411.2611200852,249411.2611200852,248037.39727080447,249411.2611200852,249411.2611200852,247978.0,214,247600.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 19:00,157455.0,157512.0,157010.0,157150.0,157603.14910094446,158327.9309904587,158394.777497884,157603.14910094446,158327.9309904587,158327.9309904587,157150.0,215,157431.0,flat,,,,,[]
SILVERM,2026-08-27 19:00,248055.0,248214.0,246853.0,247321.0,248037.39727080447,249411.2611200852,249411.2611200852,248037.39727080447,249411.2611200852,249411.2611200852,247321.0,215,247978.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 19:15,157135.0,157327.0,156976.0,157132.0,157535.55580565837,158327.9309904587,158394.777497884,157535.55580565837,158327.9309904587,158327.9309904587,157132.0,216,157150.0,flat,,,,,[]
SILVERM,2026-08-27 19:15,247370.0,247645.0,246800.0,247359.0,248037.39727080447,249411.2611200852,249411.2611200852,248037.39727080447,249411.2611200852,249411.2611200852,247359.0,216,247321.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 19:30,157105.0,157247.0,156999.0,157145.0,157501.46208766557,158327.9309904587,158394.777497884,157501.46208766557,158327.9309904587,158327.9309904587,157145.0,217,157132.0,flat,,,,,[]
SILVERM,2026-08-27 19:30,247328.0,247694.0,247140.0,247617.0,248037.39727080447,249411.2611200852,249411.2611200852,248037.39727080447,249411.2611200852,249411.2611200852,247617.0,217,247359.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 19:45,157178.0,157397.0,157111.0,157326.0,157501.46208766557,158181.64487257303,158327.9309904587,157501.46208766557,158327.9309904587,158181.64487257303,157326.0,218,157145.0,flat,,,,,[]
SILVERM,2026-08-27 19:45,247651.0,248104.0,247651.0,247965.0,248037.39727080447,249409.819881937,249411.2611200852,248037.39727080447,249411.2611200852,249409.819881937,247965.0,218,247617.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 20:00,157326.0,157699.0,157223.0,157522.0,157501.46208766557,158181.64487257303,158327.9309904587,157501.46208766557,158181.64487257303,158181.64487257303,157522.0,219,157326.0,flat,,,,,[]
SILVERM,2026-08-27 20:00,248023.0,248856.0,248000.0,248818.0,248037.39727080447,249409.819881937,249411.2611200852,248037.39727080447,249409.819881937,249409.819881937,248818.0,219,247965.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 20:15,157522.0,157663.0,157350.0,157450.0,157501.46208766557,158181.64487257303,158327.9309904587,157501.46208766557,158181.64487257303,158181.64487257303,157450.0,220,157522.0,flat,,,,,[]
SILVERM,2026-08-27 20:15,248834.0,249225.0,248102.0,248699.0,248037.39727080447,249409.819881937,249411.2611200852,248037.39727080447,249409.819881937,249409.819881937,248699.0,220,248818.0,long_position,LONG,,,246300.0,[]
